_id;id_transaksi;tanggal;pelanggan.nama;pelanggan.email;pelanggan.tipe;produk.nama_produk;produk.kategori;produk.harga_satuan;produk.jumlah;pembayaran.metode;pembayaran.total_harga;pembayaran.diskon;pembayaran.total_bayar;lokasi.kota;lokasi.provinsi
6a118f6afad93264426638ee;TRX-Z0IECH6W;06/11/2025;Rian Hidayat;user18@example.com;Non-Member;Meja Kerja Minimalis;Furniture;1200000;2;Kartu Kredit;2400000;0;2400000;Sukabumi;Jawa Barat
6a118f6afad93264426638ef;TRX-HAKOF21T;01/04/2026;Novianti;user19@example.com;Non-Member;Meja Kerja Minimalis;Furniture;1200000;1;E-Wallet (OVO/Dana);1200000;0;1200000;Surabaya;Jawa Timur
6a118f6afad93264426638f0;TRX-ETKJHFVJ;05/11/2025;Rian Hidayat;user20@example.com;Member;Kemeja Flanel Oversize;Fashion;250000;3;E-Wallet (OVO/Dana);750000;0;750000;Surabaya;Jawa Timur
6a118f6afad93264426638f1;TRX-TS9YFAEU;19/05/2025;Mega Pertiwi;user21@example.com;Member;Kopi Susu Gula Aren 1L;Kuliner;65000;2;COD;130000;0;130000;Sukabumi;Jawa Barat
6a118f6afad93264426638f2;TRX-1MI4X3Q6;23/11/2025;Novianti;user22@example.com;Non-Member;Kemeja Flanel Oversize;Fashion;250000;2;E-Wallet (OVO/Dana);500000;0;500000;Jakarta;DKI Jakarta
6a118f6afad93264426638f3;TRX-0PIMO5SR;02/04/2026;Rian Hidayat;user23@example.com;Non-Member;Kemeja Flanel Oversize;Fashion;250000;1;Transfer Bank;250000;0;250000;Bandung;Jawa Barat
6a118f6afad93264426638f4;TRX-1INJTU8U;27/04/2025;Eko Prasetyo;user24@example.com;Member;Kemeja Flanel Oversize;Fashion;250000;1;Transfer Bank;250000;0;250000;Surabaya;Jawa Timur
6a118f6afad93264426638f5;TRX-ZYUIX4HC;12/07/2025;Dewi Lestari;user25@example.com;Non-Member;Kopi Susu Gula Aren 1L;Kuliner;65000;4;COD;260000;0;260000;Bandung;Jawa Barat
6a118f6afad93264426638f6;TRX-JMW4RVKD;16/06/2025;Eko Prasetyo;user26@example.com;Member;Paket Ayam Bakar Madu;Kuliner;35000;3;Transfer Bank;105000;0;105000;Sukabumi;Jawa Barat
6a118f6afad93264426638f7;TRX-RKONS6TL;03/02/2026;Budi Santoso;user27@example.com;Member;Kursi Gaming Premium;Furniture;2500000;3;COD;7500000;0;7500000;Surabaya;Jawa Timur
6a118f6afad93264426638f8;TRX-RU93PVFK;02/08/2025;Dewi Lestari;user28@example.com;Member;Paket Ayam Bakar Madu;Kuliner;35000;3;Transfer Bank;105000;0;105000;Bandung;Jawa Barat
6a118f6afad93264426638f9;TRX-30N75XVS;24/02/2026;Rian Hidayat;user29@example.com;Non-Member;Laptop ASUS ROG;Elektronik;20000000;3;E-Wallet (OVO/Dana);60000000;0;60000000;Sukabumi;Jawa Barat
6a118f6afad93264426638fa;TRX-3RQQFNON;31/12/2024;Eko Prasetyo;user30@example.com;Non-Member;Meja Kerja Minimalis;Furniture;1200000;2;COD;2400000;0;2400000;Sukabumi;Jawa Barat
6a118f6afad93264426638fb;TRX-S1BTI5YI;04/05/2025;Siti Aminah;user31@example.com;Non-Member;Kopi Susu Gula Aren 1L;Kuliner;65000;3;E-Wallet (OVO/Dana);195000;0;195000;Medan;Sumatera Utara
6a118f6afad93264426638fc;TRX-JEPYOQXS;09/03/2026;Andi Wijaya;user32@example.com;Member;Laptop ASUS ROG;Elektronik;20000000;2;COD;40000000;0;40000000;Surabaya;Jawa Timur
6a118f6afad93264426638fd;TRX-7DWSBKBZ;25/05/2026;Mega Pertiwi;user33@example.com;Non-Member;Kursi Gaming Premium;Furniture;2500000;3;COD;7500000;0;7500000;Bandung;Jawa Barat
6a118f6afad93264426638fe;TRX-VNFN3NBD;14/08/2025;Siti Aminah;user34@example.com;Member;Smartphone Samsung S24;Elektronik;13000000;4;Transfer Bank;52000000;0;52000000;Semarang;Jawa Tengah
6a118f6afad93264426638ff;TRX-48W4OXP5;22/05/2026;Rian Hidayat;user35@example.com;Non-Member;Laptop ASUS ROG;Elektronik;20000000;1;Transfer Bank;20000000;0;20000000;Medan;Sumatera Utara
6a118f6afad9326442663900;TRX-F5G94A90;20/10/2025;Andi Wijaya;user36@example.com;Member;Sepatu Sneaker Lokal;Fashion;450000;4;E-Wallet (OVO/Dana);1800000;0;1800000;Bandung;Jawa Barat
6a118f6afad9326442663901;TRX-FL1DD5C8;25/05/2026;Budi Santoso;user37@example.com;Member;Smartphone Samsung S24;Elektronik;13000000;2;E-Wallet (OVO/Dana);26000000;0;26000000;Sukabumi;Jawa Barat
6a118f6afad9326442663902;TRX-C4LKZ9HR;10/12/2025;Mega Pertiwi;user38@example.com;Member;Kemeja Flanel Oversize;Fashion;250000;3;COD;750000;0;750000;Semarang;Jawa Tengah
6a118f6afad9326442663903;TRX-WJ0749MN;11/09/2025;Jono Adriansyah;user39@example.com;Non-Member;Sepatu Sneaker Lokal;Fashion;450000;2;E-Wallet (OVO/Dana);900000;0;900000;Surabaya;Jawa Timur
6a118f6afad9326442663904;TRX-YNG30MC9;24/11/2025;Jono Adriansyah;user40@example.com;Non-Member;Smartphone Samsung S24;Elektronik;13000000;4;E-Wallet (OVO/Dana);52000000;0;52000000;Semarang;Jawa Tengah
6a118f6afad9326442663905;TRX-BZW3EFM5;08/05/2025;Budi Santoso;user41@example.com;Member;Kopi Susu Gula Aren 1L;Kuliner;65000;4;Transfer Bank;260000;0;260000;Makassar;Sulawesi Selatan
6a118f6afad9326442663906;TRX-G7L2LJQ2;05/07/2025;Siti Aminah;user42@example.com;Non-Member;Kopi Susu Gula Aren 1L;Kuliner;65000;4;E-Wallet (OVO/Dana);260000;0;260000;Makassar;Sulawesi Selatan
6a118f6afad9326442663907;TRX-2BSEOEGZ;13/06/2025;Novianti;user43@example.com;Non-Member;Kopi Susu Gula Aren 1L;Kuliner;65000;4;E-Wallet (OVO/Dana);260000;0;260000;Sukabumi;Jawa Barat
6a118f6afad9326442663908;TRX-2OAMXA7G;11/09/2025;Rian Hidayat;user44@example.com;Non-Member;Kemeja Flanel Oversize;Fashion;250000;4;Kartu Kredit;1000000;0;1000000;Sukabumi;Jawa Barat
6a118f6afad9326442663909;TRX-6KSGCR4L;03/02/2025;Budi Santoso;user45@example.com;Member;Meja Kerja Minimalis;Furniture;1200000;2;Transfer Bank;2400000;0;2400000;Sukabumi;Jawa Barat
6a118f6afad932644266390a;TRX-0N928732;07/06/2025;Novianti;user46@example.com;Non-Member;Sepatu Sneaker Lokal;Fashion;450000;1;Transfer Bank;450000;0;450000;Bandung;Jawa Barat
6a118f6afad932644266390b;TRX-5NNE8WG3;17/05/2025;Rian Hidayat;user47@example.com;Non-Member;Laptop ASUS ROG;Elektronik;20000000;4;COD;80000000;0;80000000;Medan;Sumatera Utara
6a118f6afad932644266390c;TRX-VPQWQXH6;19/04/2025;Rian Hidayat;user48@example.com;Member;Smartphone Samsung S24;Elektronik;13000000;4;COD;52000000;0;52000000;Sukabumi;Jawa Barat
6a118f6afad932644266390d;TRX-YFNA1JRZ;07/08/2025;Fahmi Idris;user49@example.com;Non-Member;Smartphone Samsung S24;Elektronik;13000000;2;COD;26000000;0;26000000;Medan;Sumatera Utara
6a118f6afad932644266390e;TRX-9X460OBK;30/04/2025;Jono Adriansyah;user50@example.com;Non-Member;Sepatu Sneaker Lokal;Fashion;450000;3;E-Wallet (OVO/Dana);1350000;0;1350000;Semarang;Jawa Tengah
6a118f6afad932644266390f;TRX-296NVKQX;02/01/2025;Jono Adriansyah;user51@example.com;Non-Member;Paket Ayam Bakar Madu;Kuliner;35000;1;Kartu Kredit;35000;0;35000;Sukabumi;Jawa Barat
6a118f6afad9326442663910;TRX-TUCEB878;02/04/2025;Dewi Lestari;user52@example.com;Non-Member;Meja Kerja Minimalis;Furniture;1200000;4;Kartu Kredit;4800000;0;4800000;Makassar;Sulawesi Selatan
6a118f6afad9326442663911;TRX-C2V1KQME;03/12/2025;Budi Santoso;user53@example.com;Non-Member;Smartphone Samsung S24;Elektronik;13000000;3;Kartu Kredit;39000000;0;39000000;Sukabumi;Jawa Barat
6a118f6afad9326442663912;TRX-CV64ZAS3;01/07/2025;Eko Prasetyo;user54@example.com;Member;Kursi Gaming Premium;Furniture;2500000;3;Transfer Bank;7500000;0;7500000;Jakarta;DKI Jakarta
6a118f6afad9326442663913;TRX-U8UCV8X4;22/05/2025;Jono Adriansyah;user55@example.com;Member;Kemeja Flanel Oversize;Fashion;250000;1;COD;250000;0;250000;Medan;Sumatera Utara
6a118f6afad9326442663914;TRX-9EER54GE;02/03/2025;Siti Aminah;user56@example.com;Non-Member;Kopi Susu Gula Aren 1L;Kuliner;65000;2;Kartu Kredit;130000;0;130000;Bandung;Jawa Barat
6a118f6afad9326442663915;TRX-NSMGF6XB;20/12/2025;Rian Hidayat;user57@example.com;Non-Member;Meja Kerja Minimalis;Furniture;1200000;2;E-Wallet (OVO/Dana);2400000;0;2400000;Bandung;Jawa Barat
6a118f6afad9326442663916;TRX-1B51JCET;01/03/2025;Jono Adriansyah;user58@example.com;Non-Member;Paket Ayam Bakar Madu;Kuliner;35000;1;E-Wallet (OVO/Dana);35000;0;35000;Sukabumi;Jawa Barat
6a118f6afad9326442663917;TRX-GSK4VOJ5;15/01/2025;Novianti;user59@example.com;Member;Kopi Susu Gula Aren 1L;Kuliner;65000;3;Kartu Kredit;195000;0;195000;Makassar;Sulawesi Selatan
6a118f6afad9326442663918;TRX-LQMYQ2WX;11/03/2026;Andi Wijaya;user60@example.com;Member;Paket Ayam Bakar Madu;Kuliner;35000;1;Kartu Kredit;35000;0;35000;Bandung;Jawa Barat
6a118f6afad9326442663919;TRX-CEF7S4JI;11/02/2025;Andi Wijaya;user61@example.com;Member;Laptop ASUS ROG;Elektronik;20000000;1;Kartu Kredit;20000000;0;20000000;Jakarta;DKI Jakarta
6a118f6afad932644266391a;TRX-1XKLUVAQ;19/03/2026;Novianti;user62@example.com;Non-Member;Paket Ayam Bakar Madu;Kuliner;35000;1;Kartu Kredit;35000;0;35000;Sukabumi;Jawa Barat
6a118f6afad932644266391b;TRX-KB8ZYRPZ;23/02/2025;Budi Santoso;user63@example.com;Non-Member;Laptop ASUS ROG;Elektronik;20000000;3;Kartu Kredit;60000000;0;60000000;Semarang;Jawa Tengah
6a118f6afad932644266391c;TRX-8GXC9WFY;23/03/2025;Eko Prasetyo;user64@example.com;Member;Laptop ASUS ROG;Elektronik;20000000;3;E-Wallet (OVO/Dana);60000000;0;60000000;Semarang;Jawa Tengah
6a118f6afad932644266391d;TRX-1B9I0E36;14/01/2025;Budi Santoso;user65@example.com;Non-Member;Smartphone Samsung S24;Elektronik;13000000;3;Transfer Bank;39000000;0;39000000;Semarang;Jawa Tengah
6a118f6afad932644266391e;TRX-MWTK12Y3;03/03/2026;Novianti;user66@example.com;Member;Laptop ASUS ROG;Elektronik;20000000;2;COD;40000000;0;40000000;Sukabumi;Jawa Barat
6a118f6afad932644266391f;TRX-9DJ7UO5O;16/07/2025;Andi Wijaya;user67@example.com;Member;Meja Kerja Minimalis;Furniture;1200000;1;Transfer Bank;1200000;0;1200000;Semarang;Jawa Tengah
6a118f6afad9326442663920;TRX-YHT7O9BS;08/10/2025;Siti Aminah;user68@example.com;Non-Member;Sepatu Sneaker Lokal;Fashion;450000;4;E-Wallet (OVO/Dana);1800000;0;1800000;Makassar;Sulawesi Selatan
6a118f6afad9326442663921;TRX-TQEYZ27W;05/03/2026;Andi Wijaya;user69@example.com;Non-Member;Kemeja Flanel Oversize;Fashion;250000;4;Transfer Bank;1000000;0;1000000;Surabaya;Jawa Timur
6a118f6afad9326442663922;TRX-E1HKBW5P;14/11/2025;Siti Aminah;user70@example.com;Member;Smartphone Samsung S24;Elektronik;13000000;2;Transfer Bank;26000000;0;26000000;Makassar;Sulawesi Selatan
6a118f6afad9326442663923;TRX-DCJGYNYS;23/02/2026;Mega Pertiwi;user71@example.com;Non-Member;Smartphone Samsung S24;Elektronik;13000000;2;E-Wallet (OVO/Dana);26000000;0;26000000;Makassar;Sulawesi Selatan
6a118f6afad9326442663924;TRX-PNBAM4TP;18/12/2025;Budi Santoso;user72@example.com;Non-Member;Kopi Susu Gula Aren 1L;Kuliner;65000;2;Kartu Kredit;130000;0;130000;Bandung;Jawa Barat
6a118f6afad9326442663925;TRX-R9EYSEUH;06/11/2025;Rian Hidayat;user73@example.com;Member;Kopi Susu Gula Aren 1L;Kuliner;65000;2;COD;130000;0;130000;Bandung;Jawa Barat
6a118f6afad9326442663926;TRX-D8RROEBD;10/11/2025;Eko Prasetyo;user74@example.com;Member;Kursi Gaming Premium;Furniture;2500000;3;E-Wallet (OVO/Dana);7500000;0;7500000;Semarang;Jawa Tengah
6a118f6afad9326442663927;TRX-6MWEYSBA;07/04/2026;Fahmi Idris;user75@example.com;Member;Meja Kerja Minimalis;Furniture;1200000;4;E-Wallet (OVO/Dana);4800000;0;4800000;Medan;Sumatera Utara
6a118f6afad9326442663928;TRX-S18OXUBU;04/06/2025;Novianti;user76@example.com;Member;Laptop ASUS ROG;Elektronik;20000000;2;E-Wallet (OVO/Dana);40000000;0;40000000;Surabaya;Jawa Timur
6a118f6afad9326442663929;TRX-EZ4XMW7S;26/04/2025;Andi Wijaya;user77@example.com;Member;Kemeja Flanel Oversize;Fashion;250000;4;Kartu Kredit;1000000;0;1000000;Medan;Sumatera Utara
6a118f6afad932644266392a;TRX-L6KXAJWY;24/04/2025;Siti Aminah;user78@example.com;Member;Kursi Gaming Premium;Furniture;2500000;2;Transfer Bank;5000000;0;5000000;Surabaya;Jawa Timur
6a118f6afad932644266392b;TRX-HE4MMRPY;10/01/2026;Budi Santoso;user79@example.com;Member;Sepatu Sneaker Lokal;Fashion;450000;4;Kartu Kredit;1800000;0;1800000;Semarang;Jawa Tengah
6a118f6afad932644266392c;TRX-U9PZ20KM;19/08/2025;Andi Wijaya;user80@example.com;Non-Member;Sepatu Sneaker Lokal;Fashion;450000;1;COD;450000;0;450000;Medan;Sumatera Utara
6a118f6afad932644266392d;TRX-R3QKPQPN;26/06/2025;Rian Hidayat;user81@example.com;Member;Meja Kerja Minimalis;Furniture;1200000;2;Transfer Bank;2400000;0;2400000;Medan;Sumatera Utara
6a118f6afad932644266392e;TRX-SOR8D2XW;08/04/2025;Dewi Lestari;user82@example.com;Member;Paket Ayam Bakar Madu;Kuliner;35000;4;E-Wallet (OVO/Dana);140000;0;140000;Bandung;Jawa Barat
6a118f6afad932644266392f;TRX-9NJE927U;10/02/2025;Budi Santoso;user83@example.com;Member;Kopi Susu Gula Aren 1L;Kuliner;65000;4;Kartu Kredit;260000;0;260000;Semarang;Jawa Tengah
6a118f6afad9326442663930;TRX-IO4CW44G;14/03/2025;Dewi Lestari;user84@example.com;Non-Member;Kursi Gaming Premium;Furniture;2500000;3;COD;7500000;0;7500000;Bandung;Jawa Barat
6a118f6afad9326442663931;TRX-688J5XZA;06/11/2025;Novianti;user85@example.com;Member;Laptop ASUS ROG;Elektronik;20000000;3;E-Wallet (OVO/Dana);60000000;0;60000000;Jakarta;DKI Jakarta
6a118f6afad9326442663932;TRX-DL2BQBYF;06/02/2025;Fahmi Idris;user86@example.com;Non-Member;Kopi Susu Gula Aren 1L;Kuliner;65000;2;Kartu Kredit;130000;0;130000;Makassar;Sulawesi Selatan
6a118f6afad9326442663933;TRX-ATEL998Z;01/01/2025;Novianti;user87@example.com;Non-Member;Paket Ayam Bakar Madu;Kuliner;35000;4;Kartu Kredit;140000;0;140000;Bandung;Jawa Barat
6a118f6afad9326442663934;TRX-KVQ61TSZ;11/11/2025;Dewi Lestari;user88@example.com;Member;Kopi Susu Gula Aren 1L;Kuliner;65000;3;Kartu Kredit;195000;0;195000;Jakarta;DKI Jakarta
6a118f6afad9326442663935;TRX-EBUZ8RRU;19/01/2025;Budi Santoso;user89@example.com;Member;Kopi Susu Gula Aren 1L;Kuliner;65000;4;Transfer Bank;260000;0;260000;Medan;Sumatera Utara
6a118f6afad9326442663936;TRX-YWSVK1VB;03/08/2025;Budi Santoso;user90@example.com;Member;Laptop ASUS ROG;Elektronik;20000000;2;Kartu Kredit;40000000;0;40000000;Medan;Sumatera Utara
6a118f6afad9326442663937;TRX-KIZ4B8H2;16/09/2025;Fahmi Idris;user91@example.com;Member;Kemeja Flanel Oversize;Fashion;250000;2;COD;500000;0;500000;Jakarta;DKI Jakarta
6a118f6afad9326442663938;TRX-8SN79KQL;15/04/2026;Andi Wijaya;user92@example.com;Non-Member;Kemeja Flanel Oversize;Fashion;250000;4;COD;1000000;0;1000000;Bandung;Jawa Barat
6a118f6afad9326442663939;TRX-1G1RXSC6;05/06/2025;Budi Santoso;user93@example.com;Non-Member;Meja Kerja Minimalis;Furniture;1200000;2;Kartu Kredit;2400000;0;2400000;Makassar;Sulawesi Selatan
6a118f6afad932644266393a;TRX-QAGND3Y1;27/03/2025;Mega Pertiwi;user94@example.com;Non-Member;Paket Ayam Bakar Madu;Kuliner;35000;2;E-Wallet (OVO/Dana);70000;0;70000;Semarang;Jawa Tengah
6a118f6afad932644266393b;TRX-K2YS4CRA;24/11/2025;Fahmi Idris;user95@example.com;Non-Member;Meja Kerja Minimalis;Furniture;1200000;3;E-Wallet (OVO/Dana);3600000;0;3600000;Makassar;Sulawesi Selatan
6a118f6afad932644266393c;TRX-JLIYTFGM;10/04/2025;Novianti;user96@example.com;Member;Laptop ASUS ROG;Elektronik;20000000;4;Kartu Kredit;80000000;0;80000000;Bandung;Jawa Barat
6a118f6afad932644266393d;TRX-JWVRWU9R;16/01/2025;Novianti;user97@example.com;Member;Kemeja Flanel Oversize;Fashion;250000;2;Transfer Bank;500000;0;500000;Jakarta;DKI Jakarta
6a118f6afad932644266393e;TRX-WO1IP2PU;21/01/2026;Budi Santoso;user98@example.com;Member;Kursi Gaming Premium;Furniture;2500000;1;Kartu Kredit;2500000;0;2500000;Bandung;Jawa Barat
6a118f6afad932644266393f;TRX-QDDNAYCX;25/03/2026;Jono Adriansyah;user99@example.com;Non-Member;Kursi Gaming Premium;Furniture;2500000;2;Kartu Kredit;5000000;0;5000000;Sukabumi;Jawa Barat
6a118f6afad9326442663940;TRX-O2B5S3YU;05/10/2025;Budi Santoso;user100@example.com;Non-Member;Meja Kerja Minimalis;Furniture;1200000;3;E-Wallet (OVO/Dana);3600000;0;3600000;Bandung;Jawa Barat
6a118f6afad9326442663941;TRX-D5QLPX8G;11/01/2025;Dewi Lestari;user101@example.com;Member;Sepatu Sneaker Lokal;Fashion;450000;3;Kartu Kredit;1350000;0;1350000;Jakarta;DKI Jakarta
6a118f6afad9326442663942;TRX-63H32OHZ;23/09/2025;Jono Adriansyah;user102@example.com;Non-Member;Kopi Susu Gula Aren 1L;Kuliner;65000;1;Transfer Bank;65000;0;65000;Medan;Sumatera Utara
6a118f6afad9326442663943;TRX-GGXB4ALG;20/11/2025;Eko Prasetyo;user103@example.com;Member;Sepatu Sneaker Lokal;Fashion;450000;2;Kartu Kredit;900000;0;900000;Surabaya;Jawa Timur
6a118f6afad9326442663944;TRX-88LG6CXM;15/08/2025;Jono Adriansyah;user104@example.com;Non-Member;Paket Ayam Bakar Madu;Kuliner;35000;1;Kartu Kredit;35000;0;35000;Surabaya;Jawa Timur
6a118f6afad9326442663945;TRX-4EADG0FY;02/04/2025;Siti Aminah;user105@example.com;Non-Member;Kursi Gaming Premium;Furniture;2500000;1;Transfer Bank;2500000;0;2500000;Semarang;Jawa Tengah
6a118f6afad9326442663946;TRX-VBUUNJU9;03/11/2025;Siti Aminah;user106@example.com;Member;Kopi Susu Gula Aren 1L;Kuliner;65000;3;Transfer Bank;195000;0;195000;Jakarta;DKI Jakarta
6a118f6afad9326442663947;TRX-2TP73W41;24/07/2025;Budi Santoso;user107@example.com;Non-Member;Paket Ayam Bakar Madu;Kuliner;35000;3;E-Wallet (OVO/Dana);105000;0;105000;Makassar;Sulawesi Selatan
6a118f6afad9326442663948;TRX-INNONLJB;06/05/2026;Eko Prasetyo;user108@example.com;Member;Kursi Gaming Premium;Furniture;2500000;3;Kartu Kredit;7500000;0;7500000;Jakarta;DKI Jakarta
6a118f6afad9326442663949;TRX-S9IX562R;17/03/2026;Novianti;user109@example.com;Non-Member;Sepatu Sneaker Lokal;Fashion;450000;1;Kartu Kredit;450000;0;450000;Makassar;Sulawesi Selatan
6a118f6afad932644266394a;TRX-SVFTOBQ1;20/01/2026;Eko Prasetyo;user110@example.com;Non-Member;Laptop ASUS ROG;Elektronik;20000000;2;E-Wallet (OVO/Dana);40000000;0;40000000;Makassar;Sulawesi Selatan
6a118f6afad932644266394b;TRX-R8GA8ZBH;18/02/2025;Siti Aminah;user111@example.com;Non-Member;Smartphone Samsung S24;Elektronik;13000000;2;Transfer Bank;26000000;0;26000000;Surabaya;Jawa Timur
6a118f6afad932644266394c;TRX-QQOG54L0;15/11/2025;Siti Aminah;user112@example.com;Member;Meja Kerja Minimalis;Furniture;1200000;2;COD;2400000;0;2400000;Makassar;Sulawesi Selatan
6a118f6afad932644266394d;TRX-BNMCTH4M;13/02/2025;Rian Hidayat;user113@example.com;Non-Member;Meja Kerja Minimalis;Furniture;1200000;2;Kartu Kredit;2400000;0;2400000;Sukabumi;Jawa Barat
6a118f6afad932644266394e;TRX-C7MDI98N;13/05/2025;Dewi Lestari;user114@example.com;Member;Laptop ASUS ROG;Elektronik;20000000;1;Transfer Bank;20000000;0;20000000;Medan;Sumatera Utara
6a118f6afad932644266394f;TRX-8DP3KL0A;03/04/2026;Budi Santoso;user115@example.com;Member;Smartphone Samsung S24;Elektronik;13000000;4;COD;52000000;0;52000000;Sukabumi;Jawa Barat
6a118f6afad9326442663950;TRX-O63YTDO5;06/02/2026;Novianti;user116@example.com;Member;Sepatu Sneaker Lokal;Fashion;450000;1;Kartu Kredit;450000;0;450000;Semarang;Jawa Tengah
6a118f6afad9326442663951;TRX-2C0CG8JH;02/04/2025;Mega Pertiwi;user117@example.com;Member;Smartphone Samsung S24;Elektronik;13000000;1;Transfer Bank;13000000;0;13000000;Makassar;Sulawesi Selatan
6a118f6afad9326442663952;TRX-HF16R9SH;23/09/2025;Mega Pertiwi;user118@example.com;Member;Kursi Gaming Premium;Furniture;2500000;4;COD;10000000;0;10000000;Makassar;Sulawesi Selatan
6a118f6afad9326442663953;TRX-P9QEZBXL;16/05/2026;Mega Pertiwi;user119@example.com;Non-Member;Smartphone Samsung S24;Elektronik;13000000;2;Kartu Kredit;26000000;0;26000000;Bandung;Jawa Barat
6a118f6afad9326442663954;TRX-FHL9E2AL;08/07/2025;Eko Prasetyo;user120@example.com;Non-Member;Sepatu Sneaker Lokal;Fashion;450000;4;COD;1800000;0;1800000;Bandung;Jawa Barat
6a118f6afad9326442663955;TRX-5CXZ2VFR;26/10/2025;Fahmi Idris;user121@example.com;Member;Sepatu Sneaker Lokal;Fashion;450000;2;Transfer Bank;900000;0;900000;Jakarta;DKI Jakarta
6a118f6afad9326442663956;TRX-0VEK8J83;02/04/2026;Andi Wijaya;user122@example.com;Member;Meja Kerja Minimalis;Furniture;1200000;1;Transfer Bank;1200000;0;1200000;Bandung;Jawa Barat
6a118f6afad9326442663957;TRX-N49WYR7T;22/05/2025;Siti Aminah;user123@example.com;Non-Member;Smartphone Samsung S24;Elektronik;13000000;4;Kartu Kredit;52000000;0;52000000;Bandung;Jawa Barat
